Item,Category,Pt_Cnt,Percent,Z_Min,Z_Max,Intensity_Min,Intensity_Max,Synthetic_Pt_Cnt,Range_Min,Range_Max

First,Returns,4382104,61.30,882.03,6874.53,,,,,
Second,Returns,1945168,27.21,883.45,1367.77,,,,,
Third,Returns,702095,9.82,883.24,1345.96,,,,,
Fourth,Returns,119239,1.67,884.32,1302.47,,,,,
Last,Returns,4376642,61.22,882.03,1360.19,,,,,
Single,Returns,2433151,34.04,882.03,1360.19,,,,,
First_of_Many,Returns,1948953,27.26,894.11,6874.53,,,,,
Last_of_Many,Returns,1943491,27.19,883.24,1342.72,,,,,
All,Returns,7148606,100.00,882.03,6874.53,,,,,
1_Unclassified,ClassCodes,1450567,20.29,885.56,1484.16,1,5100,0,,
2_Ground,ClassCodes,2062015,28.84,882.81,1303.10,1,5100,0,,
7_Low_Point(noise),ClassCodes,189,0.00,885.39,6874.53,1,53,0,,
12_Overlap_Points,ClassCodes,3635835,50.86,882.03,1378.12,1,5100,0,,
Return_No,Attributes,,,,,,,,1,4
Intensity,Attributes,,,,,,,,1,5100
Class_Code,Attributes,,,,,,,,1,12
Scan_Angle,Attributes,,,,,,,,-18,19
User_Data,Attributes,,,,,,,,32,32
Point_Source,Attributes,,,,,,,,1041,1044
Model_Key,ClassFlags,0,0.00,,,,,,,
Synthetic,ClassFlags,0,0.00,,,,,,,
WithHeld,ClassFlags,0,0.00,,,,,,,
Overlap,ClassFlags,0,0.00,,,,,,,
